ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued
2,Chang,1,1,24 - 12 oz bottles,19.0000,17,40,25,0
3,Aniseed Syrup,1,2,12 - 550 ml bottles,10.0000,13,70,25,0
15,Genen Shouyu,6,2,24 - 250 ml bottles,15.5000,39,0,5,0
34,Sasquatch Ale,16,1,24 - 12 oz bottles,14.0000,111,0,15,0
35,Steeleye Stout,16,1,24 - 12 oz bottles,18.0000,20,0,15,0
38,Côte de Blaye,18,1,12 - 75 cl bottles,263.5000,17,0,15,0
61,Sirop d'érable,29,2,24 - 500 ml bottles,28.5000,113,0,25,0
65,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.0500,76,0,0,0
67,Laughing Lumberjack Lager,16,1,24 - 12 oz bottles,14.0000,52,0,10,0
70,Outback Lager,7,1,24 - 355 ml bottles,15.0000,15,10,30,0
75,Rhönbräu Klosterbier,12,1,24 - 0.5 l bottles,7.7500,125,0,25,0
