Product ID,Product Name,Company Name,Country
2,Chang,Exotic Liquids,UK
3,Aniseed Syrup,Exotic Liquids,UK
15,Genen Shouyu,Mayumi's,Japan
34,Sasquatch Ale,Bigfoot Breweries,USA
35,Steeleye Stout,Bigfoot Breweries,USA
38,Côte de Blaye,Aux joyeux ecclésiastiques,France
61,Sirop d'érable,Forêts d'érables,Canada
65,Louisiana Fiery Hot Pepper Sauce,New Orleans Cajun Delights,USA
67,Laughing Lumberjack Lager,Bigfoot Breweries,USA
70,Outback Lager,"Pavlova, Ltd.",Australia
75,Rhönbräu Klosterbier,Plutzer Lebensmittelgroßmärkte AG,Germany
